id,post_title,post_date,photo_url,category_id,owner_id,place_id
11,Kuakata,2020-10-02 00:00:00+06,https://thumbs.dreamstime.com/b/row-colourful-umbrellas-kuakata-beach-bay-bengal-bangladesh-116409173.jpg,51,1,2
12,Sunny Day,2020-10-02 00:00:00+06,https://media.gettyimages.com/photos/central-business-district-of-sydney-at-daytime-picture-id973115274?k=20&m=973115274&s=612x612&w=0&h=X1ceWUm3p-TjYpz76w8HGeq9Azqwk6cgwKOLJODjFHQ=,51,2,1
13,Mountain Climbing,2020-10-02 00:00:00+06,https://geographical.co.uk/wp-content/uploads/somalaya-mountain-range-title.jpg,52,2000,1
14,Eating in McDonald,2020-10-02 00:00:00+06,https://loveincorporated.blob.core.windows.net/contentimages/gallery/9d7f99ea-cd54-4ab0-a383-c9058596daf3-burgerpile.jpg,11,2000,1
5,University ,2020-10-02 00:00:00+06,https://media.glassdoor.com/l/130323/notre-dame-college-of-ohio-office.jpg,53,2,2
6,Coxs Bazaar,2020-10-02 00:00:00+06,https://www.travelandexplorebd.com/storage/app/public/posts/March2020/9hyD6VMjOYYQqvkX0YtS.jpg,26,1,2
7,Dance Concert ,2020-10-02 00:00:00+06,https://globeecho.com/wp-content/uploads/2022/06/1654814143_6870439_1654768589970-hole-in-your-soul-abba-voyage-photo-by-johan-persson-1.jpg,54,2000,2
8,Street Food,2020-10-02 00:00:00+06,https://www.holidify.com/images/cmsuploads/compressed/Street_food_for_sale_in_Ao_Nang_20201217203704.jpg,11,2,2
9,Ratargul Visit,2020-10-02 00:00:00+06,https://thumbs.dreamstime.com/b/boat-bangladesh-traditional-old-river-48950024.jpg,26,2000,1
10,Bisanakandi,2020-10-02 00:00:00+06,https://live.staticflickr.com/4331/37265420585_5d6ec46a6b_b.jpg,51,2,1
